ticker,present_period,win_made,lost_made,giveup_made,win_percentage,profit,capital
['V;'],1y,0,4,0,0,-149.4457310267859,1000
['V;'],5y,12,9,1,0.5454545454545454,21.810051509312103,1000
['V;'],10y,27,14,5,0.5869565217391305,307.61346530914295,1000
['V;'],20y,34,22,7,0.5396825396825397,197.8440984725953,1000
['HD;'],1y,2,1,0,0.6666666666666666,13.571476527622849,1000
['HD;'],5y,8,9,0,0.47058823529411764,-94.10987418038482,1000
['HD;'],10y,24,16,2,0.5714285714285714,169.51131433759417,1000
['HD;'],20y,40,28,6,0.5405405405405406,213.27204578944634,1000
['MA;'],1y,2,0,0,1.0,73.80289132254461,1000
['MA;'],5y,14,8,2,0.5833333333333334,161.50634155273457,1000
['MA;'],10y,27,18,3,0.5625,211.20423932756768,1000
['MA;'],20y,42,25,6,0.5753424657534246,678.158125359672,1000
['CVX;'],1y,4,0,0,1.0,180.27136012486042,1000
['CVX;'],5y,9,6,4,0.47368421052631576,247.04074014936182,1000
['CVX;'],10y,16,13,5,0.47058823529411764,311.38998805454764,1000
['CVX;'],20y,31,29,9,0.4492753623188406,349.2956939424789,1000
['BAC;'],1y,1,3,0,0.25,-84.48428235735209,1000
['BAC;'],5y,8,10,3,0.38095238095238093,-136.7550563948495,1000
['BAC;'],10y,20,17,7,0.45454545454545453,144.49122494288878,1000
['BAC;'],20y,32,26,14,0.4444444444444444,645.5080121585304,1000
['PFE;'],1y,2,2,0,0.5,-15.472857339041518,1000
['PFE;'],5y,8,6,3,0.47058823529411764,-36.7282191276549,1000
['PFE;'],10y,17,14,5,0.4722222222222222,24.16226273945402,1000
['PFE;'],20y,29,28,8,0.4461538461538462,-103.7730831759315,1000
['KO;'],1y,1,1,1,0.3333333333333333,19.205854388645832,1000
['KO;'],5y,11,7,2,0.55,121.77442629677932,1000
['KO;'],10y,20,14,3,0.5405405405405406,152.64794619424015,1000
['KO;'],20y,34,26,9,0.4927536231884058,245.78867131641954,1000
['ABBV;'],1y,1,2,0,0.3333333333333333,-53.21995544433594,1000
['ABBV;'],5y,8,9,0,0.47058823529411764,22.701353890555296,1000
['ABBV;'],10y,17,14,0,0.5483870967741935,201.38572692871094,1000
['ABBV;'],20y,17,14,0,0.5483870967741935,201.38572692871094,1000
['ROG;'],1y,0,1,1,0,-39.991967119489345,1000
['ROG;'],5y,8,7,2,0.47058823529411764,137.5226818629671,1000
['ROG;'],10y,18,14,6,0.47368421052631576,285.52932603018576,1000
['ROG;'],20y,36,29,10,0.48,515.6602624348227,1000
['AVGO;'],1y,1,3,0,0.25,-85.51423863002242,1000
['AVGO;'],5y,10,6,0,0.625,197.49858747209794,1000
['AVGO;'],10y,18,17,0,0.5142857142857142,112.9829973493303,1000
['AVGO;'],20y,24,20,2,0.5217391304347826,313.5061861991885,1000
['PEP;'],1y,4,0,0,1.0,91.49429539271767,1000
['PEP;'],5y,11,5,1,0.6470588235294118,156.37438616071424,1000
['PEP;'],10y,21,13,2,0.5833333333333334,180.6781525203162,1000
['PEP;'],20y,35,26,3,0.546875,177.1611368179323,1000
['COST;'],1y,2,1,0,0.6666666666666666,17.365670340401834,1000
['COST;'],5y,11,8,2,0.5238095238095238,105.29523468017581,1000
['COST;'],10y,23,16,2,0.5609756097560976,177.63799067905975,1000
['COST;'],20y,40,22,9,0.5633802816901409,696.2862490790225,1000
['LLY;'],1y,2,3,0,0.4,-58.902943202427565,1000
['LLY;'],5y,12,6,0,0.6666666666666666,212.61684199741907,1000
['LLY;'],10y,25,13,1,0.6410256410256411,388.95895908900695,1000
['LLY;'],20y,39,30,3,0.5416666666666666,319.2630814143596,1000
['WMT;'],1y,0,2,0,0,-46.26002720424117,1000
['WMT;'],5y,7,9,2,0.3888888888888889,-89.72858968462256,1000
['WMT;'],10y,16,17,3,0.4444444444444444,-36.286332648140885,1000
['WMT;'],20y,27,30,10,0.40298507462686567,-73.76016665867363,1000
['ASML;'],1y,2,2,0,0.5,-21.884312220982224,1000
['ASML;'],5y,15,12,0,0.5555555555555556,7.915762765066518,1000
['ASML;'],10y,20,27,1,0.4166666666666667,-259.81147676195457,1000
['ASML;'],20y,39,49,2,0.43333333333333335,-503.31462304251613,1000
['TMO;'],1y,4,0,0,1.0,89.28566196986617,1000
['TMO;'],5y,15,8,0,0.6521739130434783,219.64991760253926,1000
['TMO;'],10y,27,20,2,0.5510204081632653,247.6014011928017,1000
['TMO;'],20y,46,33,4,0.5542168674698795,516.3109537805835,1000
