AAPL;
MSFT;
AMZN;
TSLA;
GOOGL;
GOOG;
FB;
NVDA;
UNH;
JNJ;
BRKB;
XOM;
PG;
JPM;
V;
NESN;
HD;
MA;
CVX;
BAC;
PFE;
KO;
ABBV;
ROG;
AVGO;
PEP;
COST;
LLY;
WMT;
ASML;
TMO;
MRK;
CSCO;
SHEL;
DIS;B
ABT;
AZN;
ADBE;
VZ;
ACN;
MCD;
NOVN;
CMCSA;
INTC;
NOVO B;
WFC;
7203;
CRM;
MC;
BHP;
BMY;
QCOM;
LIN;
DHR;
AMD;
TXN;
NKE;
PM;
UNP;
RY;
RTX;
NEE;
T;
MDT;
HON;
LOW;
COP;
AMGN;
UPS;
TD;
CVS;
HSBA;
TTE;
SPGI;
ORCL;
CBA;
ANTM;
IBM;
INTU;
CAT;
MS;
SAN;
1299;
AXP;
ULVR;
DE;
TGT;
DGE;
PLD;
AMT;
GSK;
LMT;
6758;
GS;
AMAT;
C;
MO;
BP.;
SCHW;
PYPL;
SAP;
BLK;
NOW;
ADP;
SBUX;
CB;
CSL;
SIE;
MDLZ;
ALV;
NFLX;
BATS;
ENB;
MMM;
ADI;
GE;
ISRG;
BA;
OR;
CI;
BKNG;
CNR;
DUK;
SYK;
ZTS;
MU;
TMUS;
MMC;
AI;
CSX;
CCI;
CME;
SO;
BNS;
GILD;
RIO;
TJX;
CNQ;
BX;
NAB;
6861;
PNC;
SU;
EOG;
BDX;
BAM.A;
LRCX;
ZURN;
8306;
USB;
VRTX;
SHW;
NOC;
BMO;
REGN;
WM;
PGR;
TFC;
EW;
CP;
IBE;
ITW;
D;
AON;
NSC;
EQIX;
AIR;
FIS;
BAYN;
WBC;
UBSG;
ICE;
ATVI;
CL;
MPC;
DTE;
BSX;
FCX;
FISV;
CFR;
8035;
NTR;
GLEN;
BNP;
SLB;
EL;
ETN;
F;
NEM;
PXD;
GD;
OXY;
HCA;
CHTR;
COF;
AAL;
9433;
HUM;
PSA;
RKT;
REL;
DG;
MBG;
ANZ;
SU;
APD;
EMR;
TRP;
SHOP;
GM;
MCO;
PANW;
DOW;
NG.;
MRNA;
KLAC;
FDX;
AIG;
ENEL;
SRE;
DG;
SQ;
4063;
MRVL;
ADM;
CS;
VLO;
SAN;
XTSLA;
9984;
AEP;
MQG;
MAR;
CM;
6098;
NXPI;
ABBN;
MET;
MCK;
ABI;
